route_id,service_id,trip_id,trip_headsign,shape_id
V3-64-182,2531,4359503,Aeroport,3
V3-182-64,2531,4359934,Rafelbunyol,43
V3-64-182,2531,4359504,Aeroport,3
V3-182-64,2531,4359935,Rafelbunyol,43
V3-64-182,2531,4359505,Aeroport,3
V3-182-64,2531,4359936,Rafelbunyol,43
V3-64-182,2531,4359506,Aeroport,3
V3-182-64,2531,4359937,Rafelbunyol,43
V3-64-182,2531,4359507,Aeroport,3
V3-182-64,2531,4359938,Rafelbunyol,43
V3-64-182,2531,4359508,Aeroport,3
V3-182-64,2531,4359939,Rafelbunyol,43
V3-64-182,2531,4359509,Aeroport,3
V3-182-64,2531,4359940,Rafelbunyol,43
V3-64-182,2531,4359510,Aeroport,3
V3-182-64,2531,4359941,Rafelbunyol,43
V3-64-182,2531,4359511,Aeroport,3
V3-182-64,2531,4359942,Rafelbunyol,43
V3-64-182,2531,4359512,Aeroport,3
V3-182-64,2531,4359943,Rafelbunyol,43
V3-64-182,2531,4359513,Aeroport,3
V3-182-64,2531,4359944,Rafelbunyol,43
V3-64-182,2531,4359514,Aeroport,3
V3-182-64,2531,4359945,Rafelbunyol,43
V3-64-182,2531,4359515,Aeroport,3
V3-182-64,2531,4359946,Rafelbunyol,43
V3-64-182,2531,4359516,Aeroport,3
V3-182-64,2531,4359947,Rafelbunyol,43
V3-64-182,2531,4359517,Aeroport,3
V3-182-64,2531,4359948,Rafelbunyol,43
V3-64-182,2531,4359518,Aeroport,3
V3-182-66,2531,4359949,Machado,43
V3-64-182,2531,4359519,Aeroport,3
V3-182-64,2531,4359950,Rafelbunyol,43
V3-64-182,2531,4359520,Aeroport,3
V3-182-66,2531,4359951,Machado,43
V3-64-182,2531,4359521,Aeroport,3
V3-182-64,2531,4359952,Rafelbunyol,43
V3-182-66,2531,4359953,Machado,43
V3-64-182,2531,4359522,Aeroport,3
V3-182-64,2531,4359954,Rafelbunyol,43
V3-64-182,2531,4359523,Aeroport,3
V3-64-182,2531,4359524,Aeroport,3
V4-94-102,2531,4360164,Vicent Andrés Estellés,25
V4-95-98,2531,4360397,Dr. Lluch,5
V4-98-102,2531,4360166,Vicent Andrés Estellés,5
V4-95-98,2531,4360398,Dr. Lluch,5
V4-98-114,2531,4360168,Mas del Rosari,5
V4-95-98,2531,4360399,Dr. Lluch,5
V4-98-102,2531,4360169,Vicent Andrés Estellés,5
V4-95-98,2531,4360400,Dr. Lluch,5
V4-98-114,2531,4360172,Mas del Rosari,5
V4-95-98,2531,4360402,Dr. Lluch,5
V4-94-102,2531,4360173,Vicent Andrés Estellés,25
V4-102-98,2531,4360403,Dr. Lluch,25
V4-98-100,2531,4360174,Fira València,25
V4-102-98,2531,4360405,Dr. Lluch,25
V4-98-114,2531,4360176,Mas del Rosari,5
V4-95-98,2531,4360408,Dr. Lluch,5
V4-94-102,2531,4360178,Vicent Andrés Estellés,25
V4-114-98,2531,4360409,Dr. Lluch,25
V4-98-100,2531,4360179,Fira València,25
V4-95-98,2531,4360410,Dr. Lluch,5
V4-98-114,2531,4360182,Mas del Rosari,5
V4-102-98,2531,4360413,Dr. Lluch,25
V4-98-102,2531,4360183,Vicent Andrés Estellés,5
V4-102-98,2531,4360415,Dr. Lluch,25
V4-98-100,2531,4360185,Fira València,25
V4-114-98,2531,4360417,Dr. Lluch,25
V4-98-114,2531,4360187,Mas del Rosari,5
V4-100-98,2531,4360420,Dr. Lluch,5
V4-98-102,2531,4360189,Vicent Andrés Estellés,5
V4-102-98,2531,4360422,Dr. Lluch,25
V4-98-100,2531,4360190,Fira València,25
V4-114-98,2531,4360424,Dr. Lluch,25
V4-98-114,2531,4360193,Mas del Rosari,5
V4-100-98,2531,4360427,Dr. Lluch,5
V4-98-102,2531,4360195,Vicent Andrés Estellés,5
V4-102-98,2531,4360429,Dr. Lluch,25
V4-98-100,2531,4360197,Fira València,25
V4-114-98,2531,4360431,Dr. Lluch,25
V4-98-114,2531,4360200,Mas del Rosari,5
V4-100-98,2531,4360434,Dr. Lluch,5
V4-98-102,2531,4360202,Vicent Andrés Estellés,5
V4-102-98,2531,4360436,Dr. Lluch,25
V4-98-100,2531,4360204,Fira València,25
V4-114-98,2531,4360438,Dr. Lluch,25
V4-98-114,2531,4360207,Mas del Rosari,5
V4-100-98,2531,4360441,Dr. Lluch,5
V4-98-102,2531,4360209,Vicent Andrés Estellés,5
V4-102-98,2531,4360443,Dr. Lluch,25
V4-98-100,2531,4360211,Fira València,25
V4-114-98,2531,4360445,Dr. Lluch,25
V4-98-114,2531,4360214,Mas del Rosari,5
V4-100-98,2531,4360448,Dr. Lluch,5
V4-98-102,2531,4360216,Vicent Andrés Estellés,5
V4-102-98,2531,4360450,Dr. Lluch,25
V4-98-100,2531,4360218,Fira València,25
V4-114-98,2531,4360452,Dr. Lluch,25
V4-98-114,2531,4360221,Mas del Rosari,5
V4-100-98,2531,4360455,Dr. Lluch,5
V4-98-102,2531,4360223,Vicent Andrés Estellés,5
V4-102-98,2531,4360457,Dr. Lluch,25
V4-98-100,2531,4360225,Fira València,25
V4-114-98,2531,4360459,Dr. Lluch,25
V4-98-114,2531,4360228,Mas del Rosari,5
V4-100-98,2531,4360462,Dr. Lluch,5
V4-98-102,2531,4360230,Vicent Andrés Estellés,5
V4-102-98,2531,4360464,Dr. Lluch,25
V4-98-100,2531,4360232,Fira València,25
V4-114-98,2531,4360466,Dr. Lluch,25
V4-98-114,2531,4360235,Mas del Rosari,5
V4-100-98,2531,4360469,Dr. Lluch,5
V4-98-102,2531,4360237,Vicent Andrés Estellés,5
V4-102-98,2531,4360471,Dr. Lluch,25
V4-98-100,2531,4360239,Fira València,25
V4-114-98,2531,4360473,Dr. Lluch,25
V4-98-114,2531,4360242,Mas del Rosari,5
V4-100-98,2531,4360476,Dr. Lluch,5
V4-98-102,2531,4360244,Vicent Andrés Estellés,5
V4-102-98,2531,4360478,Dr. Lluch,25
V4-98-100,2531,4360246,Fira València,25
V4-114-98,2531,4360480,Dr. Lluch,25
V4-98-114,2531,4360249,Mas del Rosari,5
V4-100-98,2531,4360483,Dr. Lluch,5
V4-98-102,2531,4360251,Vicent Andrés Estellés,5
V4-102-98,2531,4360485,Dr. Lluch,25
V4-98-100,2531,4360253,Fira València,25
V4-114-98,2531,4360487,Dr. Lluch,25
V4-98-114,2531,4360256,Mas del Rosari,5
V4-100-98,2531,4360490,Dr. Lluch,5
V4-98-102,2531,4360258,Vicent Andrés Estellés,5
V4-102-98,2531,4360492,Dr. Lluch,25
V4-98-100,2531,4360260,Fira València,25
V4-114-98,2531,4360494,Dr. Lluch,25
V4-98-114,2531,4360263,Mas del Rosari,5
V4-100-98,2531,4360498,Dr. Lluch,5
